id	dims	cluster_neighbors	resolution	umap_neighbors	min_dist	iterations	trial
103	30	25	0.4	30	0.3	250	3
104	30	25	0.4	30	0.3	250	4
105	30	25	0.4	30	0.3	250	5
106	30	25	0.4	30	0.3	500	1
107	30	25	0.4	30	0.3	500	2
108	30	25	0.4	30	0.3	500	3
109	30	25	0.4	30	0.3	500	4
110	30	25	0.4	30	0.3	500	5
111	30	25	0.4	30	0.4	250	1
112	30	25	0.4	30	0.4	250	2
113	30	25	0.4	30	0.4	250	3
114	30	25	0.4	30	0.4	250	4
115	30	25	0.4	30	0.4	250	5
116	30	25	0.4	30	0.4	500	1
117	30	25	0.4	30	0.4	500	2
118	30	25	0.4	30	0.4	500	3
119	30	25	0.4	30	0.4	500	4
120	30	25	0.4	30	0.4	500	5
121	30	25	0.4	50	0.2	250	1
122	30	25	0.4	50	0.2	250	2
123	30	25	0.4	50	0.2	250	3
124	30	25	0.4	50	0.2	250	4
125	30	25	0.4	50	0.2	250	5
126	30	25	0.4	50	0.2	500	1
127	30	25	0.4	50	0.2	500	2
128	30	25	0.4	50	0.2	500	3
129	30	25	0.4	50	0.2	500	4
130	30	25	0.4	50	0.2	500	5
131	30	25	0.4	50	0.3	250	1
132	30	25	0.4	50	0.3	250	2
133	30	25	0.4	50	0.3	250	3
134	30	25	0.4	50	0.3	250	4
135	30	25	0.4	50	0.3	250	5
136	30	25	0.4	50	0.3	500	1
137	30	25	0.4	50	0.3	500	2
138	30	25	0.4	50	0.3	500	3
139	30	25	0.4	50	0.3	500	4
140	30	25	0.4	50	0.3	500	5
141	30	25	0.4	50	0.4	250	1
142	30	25	0.4	50	0.4	250	2
143	30	25	0.4	50	0.4	250	3
144	30	25	0.4	50	0.4	250	4
145	30	25	0.4	50	0.4	250	5
146	30	25	0.4	50	0.4	500	1
147	30	25	0.4	50	0.4	500	2
148	30	25	0.4	50	0.4	500	3
149	30	25	0.4	50	0.4	500	4
150	30	25	0.4	50	0.4	500	5
151	30	25	0.4	100	0.2	250	1
152	30	25	0.4	100	0.2	250	2
